0	2.2	2.71	3.8
1	2	2.86	3.57
2	2.5	2.8	3.55
3	2	2.84	3.64
4	2.1	3	3.71
5	2.16	2.92	3.54
6	2.03	2.98	3.53
7	2.9	3.02	3.58
8	2.94	3.03	3.53
9	2.83	3.01	3.69
10	2.93	3.02	3.72
11	2.88	3.02	3.72
12	2.85	3.02	3.69
13	2.95	3.02	3.64
14	2.95	3.02	3.58
15	2.6	3.04	3.6
16	2.74	3.05	3.58
17	2.75	3.09	3.6
18	2.62	3.05	3.59
19	2.32	3.06	3.59
20	2.48	3.08	3.76
21	2.49	3.1	3.67
22	2.47	3.13	3.55
23	2.19	3.22	3.58
24	2.28	3.21	3.62
25	2.3	3.17	3.61
26	2.32	3.26	3.6
27	2.5	3.26	3.64
28	2.47	3.26	3.65
29	2.51	3.26	3.85
30	2.55	3.25	3.7
31	2.5	3.21	3.77
32	2.43	3.24	3.65
33	2.37	3.29	3.67
34	2.18	3.07	3.65
35	2.18	3.11	3.71
36	2.17	3.1	3.72
37	2.16	3.11	3.62
38	2.29	3.23	3.66
39	2.23	3.28	3.61
40	2.27	3.28	3.67
41	2.34	3.2	3.78
42	2.88	3.15	3.67
43	3.06	3.21	3.66
44	3.07	3.15	3.65
45	3.25	3.14	3.66
46	3.31	3.17	3.75
47	3.34	3.22	3.92
48	3.34	3.4	3.85
49	3.3	3.47	3.84
50	3.33	3.55	3.88
51	3.32	3.59	3.68
52	3.29	3.62	3.79
53	3.15	3.68	3.62
54	3.16	3.91	3.66
55	3.24	3.94	3.77
56	3.27	4.12	3.88
57	3.34	4.35	3.98
58	3.37	4.45	4.03
59	3.45	4.77	4.09
60	3.49	4.94	4.14
61	3.61	5.23	4.19
62	3.68	5.6	4.15
63	3.79	6.11	4.33
64	3.9	6.44	4.3
65	4.04	7.05	4.59
66	4.17	7.76	4.64
67	4.29	8.44	4.72
68	4.41	8.82	4.79
69	4.55	9.89	4.86
70	4.74	10.85	4.88
71	4.9	11.83	5.14
72	5.12	13.16	5.43
73	5.28	14.47	5.64
74	5.54	15.96	5.95
75	5.88	17.16	6.23
76	6.08	18.62	6.6
77	6.36	19.98	6.88
78	6.64	21.79	7.32
79	6.97	23.17	7.63
80	7.37	24.95	7.91
81	7.68	27	8.21
82	8.14	28.52	8.46
83	8.45	30	8.99
84	8.876	33.54	9.64
85	9.48	36.3	10.29
86	9.88	38.01	10.87
87	10.28	41.77	11.68
88	10.77	46.51	12.26
89	11.08	51.34	12.82
90	11.41	54.2	13.45
91	12.25	60.57	14.26
92	12.55	64.69	14.98
93	13.18	67.46	15.59
94	13.78	72.73	15.97
95	14.45	77.58	16.92
96	15.2	84.03	18.07
97	15.64	88.7	19.04
98	15.74	94.58	19.89
99	16.69	101.7	21.03
100	17.44	105.9	22.4
101	18.13	113	23.35
102	19.05	120.6	25.01
103	19.76	128.2	26.06
104	20.78	135.2	27.28
105	21.61	143.2	28.27
106	22.48	153.5	29.49
107	23.09	158.7	31.46
108	24.23	164.3	32.43
109	25.11	178.8	34.07
110	25.43	189.4	35.7
111	26.32	198.9	37.11
112	27.12	213.2	38.36
113	27.86	226.8	32.63
114	29.62	239.7	38.97
115	28.61	255.2	42.42
116	31.3	268.9	43.81
117	30.39	286	46.22
118	32.3	300.9	49.44
119	33.38	317.4	49.54
120	35.87	335.8	52.87
121	36.9	350.7	56.04
122	39.05	360	57.03
123	40.68	368.8	58.7
124	41.82	374.8	62.44
125	39.82	398.6	57.89
126	39.58	406	63.87
127	40.54	422.7	63.74
128	40.77	429.1	63.91
129	42.93	447.5	67.97
130	44.5	463	68.98
131	45.32	477.4	72.27
